===ARCS===
ID: 109, Start Node ID: 465, End Node ID: 469, Left Polygon ID: 214, Right Polygon ID: 226, Points: [(38432772.5143966, 3739683.6145), (38433211.726315, 3739683.6145)]
ID: 110, Start Node ID: 469, End Node ID: 7, Left Polygon ID: 23, Right Polygon ID: 22, Points: [(38433211.726315, 3739683.6145), (38433413.45, 3739683.6145)]
ID: 111, Start Node ID: 8, End Node ID: 604, Left Polygon ID: 24, Right Polygon ID: 29, Points: [(38431488.175, 3739683.6145), (38431488.175, 3739720.19151099)]
ID: 112, Start Node ID: 604, End Node ID: 543, Left Polygon ID: 249, Right Polygon ID: 254, Points: [(38431488.175, 3739720.19151099), (38431488.175, 3739782.17677626)]
ID: 113, Start Node ID: 543, End Node ID: 495, Left Polygon ID: 235, Right Polygon ID: 240, Points: [(38431488.175, 3739782.17677626), (38431488.175, 3739842.83019903)]
ID: 114, Start Node ID: 495, End Node ID: 449, Left Polygon ID: 217, Right Polygon ID: 222, Points: [(38431488.175, 3739842.83019903), (38431488.175, 3740019.21930728)]
ID: 115, Start Node ID: 449, End Node ID: 404, Left Polygon ID: 208, Right Polygon ID: 210, Points: [(38431488.175, 3740019.21930728), (38431488.175, 3740228.40008969)]
ID: 116, Start Node ID: 404, End Node ID: 361, Left Polygon ID: 198, Right Polygon ID: 201, Points: [(38431488.175, 3740228.40008969), (38431488.175, 3740262.99669333)]
ID: 117, Start Node ID: 361, End Node ID: 322, Left Polygon ID: 188, Right Polygon ID: 192, Points: [(38431488.175, 3740262.99669333), (38431488.175, 3740297.59329696)]
ID: 118, Start Node ID: 322, End Node ID: 283, Left Polygon ID: 177, Right Polygon ID: 182, Points: [(38431488.175, 3740297.59329696), (38431488.175, 3740332.1899006)]
ID: 119, Start Node ID: 283, End Node ID: 248, Left Polygon ID: 167, Right Polygon ID: 172, Points: [(38431488.175, 3740332.1899006), (38431488.175, 3740371.59528521)]
ID: 120, Start Node ID: 248, End Node ID: 214, Left Polygon ID: 157, Right Polygon ID: 159, Points: [(38431488.175, 3740371.59528521), (38431488.175, 3740411.84261215)]
ID: 121, Start Node ID: 214, End Node ID: 174, Left Polygon ID: 148, Right Polygon ID: 151, Points: [(38431488.175, 3740411.84261215), (38431488.175, 3740457.82238038)]
ID: 122, Start Node ID: 174, End Node ID: 134, Left Polygon ID: 132, Right Polygon ID: 134, Points: [(38431488.175, 3740457.82238038), (38431488.175, 3740537.91551743)]
ID: 123, Start Node ID: 134, End Node ID: 94, Left Polygon ID: 116, Right Polygon ID: 117, Points: [(38431488.175, 3740537.91551743), (38431488.175, 3740730.71265072)]
ID: 124, Start Node ID: 94, End Node ID: 63, Left Polygon ID: 99, Right Polygon ID: 101, Points: [(38431488.175, 3740730.71265072), (38431488.175, 3740888.50782575)]
ID: 125, Start Node ID: 63, End Node ID: 43, Left Polygon ID: 83, Right Polygon ID: 85, Points: [(38431488.175, 3740888.50782575), (38431488.175, 3740997.89886071)]
ID: 126, Start Node ID: 43, End Node ID: 32, Left Polygon ID: 73, Right Polygon ID: 75, Points: [(38431488.175, 3740997.89886071), (38431488.175, 3741078.76956609)]
ID: 127, Start Node ID: 32, End Node ID: 24, Left Polygon ID: 63, Right Polygon ID: 65, Points: [(38431488.175, 3741078.76956609), (38431488.175, 3741140.85172962)]
ID: 128, Start Node ID: 24, End Node ID: 17, Left Polygon ID: 53, Right Polygon ID: 55, Points: [(38431488.175, 3741140.85172962), (38431488.175, 3741196.23285248)]
ID: 129, Start Node ID: 17, End Node ID: 13, Left Polygon ID: 43, Right Polygon ID: 45, Points: [(38431488.175, 3741196.23285248), (38431488.175, 3741239.26469206)]
ID: 130, Start Node ID: 13, End Node ID: 10, Left Polygon ID: 33, Right Polygon ID: 35, Points: [(38431488.175, 3741239.26469206), (38431488.175, 3741278.60234603)]
ID: 131, Start Node ID: 10, End Node ID: 5, Left Polygon ID: 17, Right Polygon ID: 16, Points: [(38431488.175, 3741278.60234603), (38431488.175, 3741317.94)]
ID: 132, Start Node ID: 4, End Node ID: 1361, Left Polygon ID: 13, Right Polygon ID: 14, Points: [(38431488.175, 3738049.289), (38431488.175, 3738384.71501375)]
ID: 133, Start Node ID: 1361, End Node ID: 1324, Left Polygon ID: 456, Right Polygon ID: 460, Points: [(38431488.175, 3738384.71501375), (38431488.175, 3738656.50552009)]
ID: 134, Start Node ID: 1324, End Node ID: 1263, Left Polygon ID: 1, Right Polygon ID: 445, Points: [(38431488.175, 3738656.50552009), (38431488.175, 3738741.23906466)]
ID: 135, Start Node ID: 1263, End Node ID: 1208, Left Polygon ID: 433, Right Polygon ID: 429, Points: [(38431488.175, 3738741.23906466), (38431488.175, 3738780.79995477)]
ID: 136, Start Node ID: 1208, End Node ID: 1156, Left Polygon ID: 418, Right Polygon ID: 414, Points: [(38431488.175, 3738780.79995477), (38431488.175, 3738846.6395285)]
ID: 137, Start Node ID: 1156, End Node ID: 1108, Left Polygon ID: 403, Right Polygon ID: 400, Points: [(38431488.175, 3738846.6395285), (38431488.175, 3738966.73618373)]
ID: 138, Start Node ID: 1108, End Node ID: 1056, Left Polygon ID: 393, Right Polygon ID: 7, Points: [(38431488.175, 3738966.73618373), (38431488.175, 3739045.77635405)]
ID: 139, Start Node ID: 1056, End Node ID: 1001, Left Polygon ID: 372, Right Polygon ID: 369, Points: [(38431488.175, 3739045.77635405), (38431488.175, 3739109.92698646)]
ID: 140, Start Node ID: 1001, End Node ID: 937, Left Polygon ID: 350, Right Polygon ID: 347, Points: [(38431488.175, 3739109.92698646), (38431488.175, 3739239.76028737)]
